,konkani,label
196,भोंकांतल्यान उदक भायर येवप.,negative
197,"जंय मेरेन शक्य आसा, दुयेंतीन कुडींत काळोख करप फायद्याचें.",positive
198,सॅरॅब्रल पाल्सीन पिडेस्त भुरग्यांक विशेश उपकरणांची लेगीत गरज आसता.,positive
199,"केस, कान, हात आनी मनगट हांचेर खुबच आकर्शक अळंकार घातिल्लें आसतात.",positive
200,सदांच बर्‍या दर्ज्याच्या प्रसाधनांचो उपेग करात.,positive
201,तंतूंतल्यान आमकां बरे तरेन पचोवपाक मजत मेळटा.,positive
202,दोळ्यांची नदर वाडटा.,neutral
203,तो दोनूय पक्षांक खूश करपा खातीर बर्‍यो गजाली बरोवंक शकना.,positive
204,पूण धीर करून सगले वांगडा गेले.,positive
205,शिंया दिसांनी हुनहुनीत मसाल्याचें जेवण हें गोंयचें खाशेलपण.,negative
206,गुपीत गोदावरींत दोन सैमीक होंवयो आसात जयं उदक सेगीत व्हांवत आसता.,neutral
207,"थंड पेय, आयस्क्रीम आनी थंड उदकान पोटाचो अग्नी मंद पडटा.",negative
208,जाका लागून आवय भुरगें दोगांयच्या जिवाक घात निर्माण जाता.,negative
209,पालन घराक वा उपकरणांक संक्रमणा बगर दवरपा खातीर हाका देन वेळा नितळ करपाक जाय.,neutral
210,हांगाच ज्योतिसर नांवांची गीता उपदेशाची सुवात आसा.,neutral
211,जाका लागून कातीची चकचकसाण सदां खातीर उरता.,neutral
212,आंतकड्यांतले दंत काबार करतात.,negative
213,बसींची आनी टॅक्सींची बरी वेवस्था आसा.,positive
214,कामणीच्या दुयेंसांत सगल्यांत पयलीं मुखामळार आनी दोळ्यांनी हळडुवसाण दिश्टी पडटा.,neutral
215,नाक नेमान लींप करचें.,neutral
216,कूड निरोगी आनी घटमूट करपा खातीर शिलाजीत सगल्यांत बरें रसायन.,positive
217,सारंडाचो मोसम वर्सभर चडसो थंडूच आसता.,negative
218,मनीशाच्या भेसांक लागून ग्रँड फिनालेची सोबाय दुपेटीन जाली.,positive
219,हाडमोडणेची वळख -,neutral
220,तुमडूचे तेंगशेर कालोराच्या दिसांनी तंबू घालून आशिकुशीच्या दोंगरांचो आनंद घेवं येता.,positive
221,हो एक अजाप करपा सारको उपचार.,positive
222,हांगा तुमीं उकत्या मनांत बाजार करूंक शकतात.,positive
223,"नाल्ल त्या बॅक्टिरियाक लेगीत काबार करता जो अल्सर, गळ्याचें संक्रमण, दांतांचें दुयेंस आनी निमोनिया तयार करता.",negative
224,हांगा कांय किलोमिटर पयस एक ओडलायणो जलस्रोत आसा जो पर्यटकांक आडायता.,positive
225,फिग्द सांसपून पळयतकच फिग्दाची घटसाण अणभवता.,negative
226,देखून उण्यांत उण्या दिसांनी तीन फावटीं  पावर ब्रिदींग  घेयात.,negative
227,खोकिल्ल्यान दोळ्यांतल्यान दुकां येतात.,negative
228,"जड उखल्ल्यार, मुत्तना वा संडासा वेळार नेट  लायल्यार सूज वाडटा.",positive
229,शिमलाक येवपी भोंवडेकार कुफरीक येवपाक विसरनात.,neutral
230,होंवरी क्रमांक पांचांत विष्णू देवाच्या वराह अवताराचें चित्रण आसा.,neutral
231,"जागेश्‍वराचें धार्मीक , इतिहासीक आनी संस्कृतीक महत्व आसा अशें सगले मानतात.",neutral
232,"चड करून ह्या वखदाचो प्रयोग पाचक, मूत आडावपी रजोनिवृत्ती आनी दुखीचें म्हयन्याचेंत करतात.",negative
233,आयुर्वेदांत सणबियांक दैवीक अन्न मानलां.,neutral
234,हाच्या वानस्पतीक विकासा खातीर लांब थंड रुतू आसप गरजेचें.,negative
235,जिरें कातीच्या संसर्गा पसून वाटायता.,neutral
236,"तकली, तोंड, बी हातूंतल्यान घाण वासाचो वा आंबट वासाचो घाम येता.",negative
237,जण एकलो टीवी बाबतींत जाणा.,positive
238,पोरण्या काळार तेल दीसपट्ट्या उपेगी वस्तूं मदीं मुखेल आशिल्लें.,neutral
239,दूख खंयच्या भागांत आसा हें हाचेर आदारून आसता की खंयचो तंत्रिका तंतूं प्रभावीत जाला.,negative
240,ताचे भायर हांगा तुमकां बर्‍या दर्ज्याचीं उत्पादनांय मेळटलीं.,positive
241,जर आयक्यू २० ते ३५  मदीं आसा तर मनशाक चड मंदबुद्दीचो मानतात.,negative
242,पारंपरीक शैलीच्या ह्या मुर्त्यांक रंगीत भारतीय भेस घालतात.,positive
243,"सुत्रांच्या मता प्रमाण, अशें अवस्थेंत गैर युरिया रासायनीक सार्‍या खातीर वर्तमान काळांत डिकंट्रोल पॉलिसीक नव्या तरेन तयार करतात.",neutral
244,विलो झाडांचीं पानां जीं ताच्या ल्हान ल्हान जुंव्यांचेर आसात.,negative
245,चाणुर संवसाराक अंतरल्या उपरांत कृष्णाक तोषलक नांवाच्या आनी एका पेलवानाक तोंड दिवचें पडलें.,neutral
246,होमियोपॅथीक वखद कॅमोमिला-30चें सेवन बाळंटेरा पयलीं नकली वेणांनी उपयोगी आसा.,negative
247,भुरग्यांक बरें टुथपेस्ट दियात.,positive
248,पावसाच्या मोसमांत अल्मोडा वचप बरें न्हय.,negative
249,जळिल्ले सुवातेर म्होंवाचो लेप लायल्यार सुसेग मेळटा आनी फोड येनात.,positive
250,कुडींत पसरिल्ली घाण काडपाचो सैम येत्न करीत रावता.,neutral
251,"फळां भितर जर आमी डाळिंबाचो प्रयोग केल्यार, खूब दुयेंसा आपल्या आपूण पयस जातली.",negative
252,वयरसकयल जाल्ले भशेन दिसप.,negative
253,हांगाच्या मोलादीक आकर्शणां मदीं रुप्याची रेल्वेगाडी आसा.,positive
254,"लोकसंख्येचे वाडीक लागून देशांत गरिबी, बेकारी, बी पातळटा.",negative
255,"ह्या युगांत यज्ञाचें आयोजन, लोकसंवादा खातीर करताले.",neutral
256,अमेरिकेचे शेतकार उत्पादन म्हारग करतात.,negative
257,जर हे लोक संकटांत आसत जाल्यार सामाजीक धागो तुटतलो.,negative
258,परेडींत कोणाच्यानूय रिगूं येता.,positive
259,नसबंदी पयलीं तयार जाल्ले शुक्राणू दादल्याचे कुडींत एकठांय जातात.,neutral
260,सुवसन्तक वा मदनोत्सव हे उत्सव माघांतल्या शुक्ला पंचमेच्या तिथीक मनयतात.,positive
261,देखून हे सुवातेक कीचकदारा म्हणटाले जाचे उपरांत चिखलदारा जालें.,neutral
262,मलावरोधूय उरता.,neutral
263,खोल स्वास घेवंक पावना.,negative
264,पायरियाचीं लक्षणां.,negative
265,ह्या दुयेंसांत हाडां अशक्त आनी भुशीभुशीत जातात.,negative
266,सामान्य मनशाक जाल्यार पयस सवण्यांचो चिंवचिंवाट लेगीत आयकूंक येवपाक कुस्तार.,negative
267,उदकांतल्यान तकलीफोडींत सुसेग मेळटा.,positive
268,हिलर आपल्या हाताचे उबेन दुयेंतीचेर उपचार करता.,negative
269,मिठाचें सेवन उण्यांत उणें करात.,neutral
270,ऑस्ट्रेलियेक संवसारांत सुमार ४६ % लोकर आनी २९ % मांस निर्यात करपाचें श्रेय प्राप्त जालां.,positive
271,मध्य प्रदेशांत दर वर्सा सुमार १२५ जात्रा भरतात.,neutral
272,साकर भरशिल्ल्या तंबाकू पसून येवपी धुंवर आम्लाचो आसता.,neutral
273,खास करून हांगाचें जर्क मीट तर जगभर फामाद आसा.,positive
274,हागपाक त्रास जातात.,neutral
275,ताकाची मालीश केंसांक फायदो करता.,positive
276,अम्लीक मातयेंत वेगवेगळ्या पोशक तत्वांचो उणाव जाता.,negative
277,आमी सैमाक इतलें सतयला की ताचो राग पर्यावरण संबंदी सगल्या समस्यांच्या रुपांत मुखार आयली.,negative
278,सादारण कोशिका लेगीत ह्या वखदांनी प्रभावीत जावं येतात.,negative
279,त्रिकोणासनान हड्ड्याचो विकास जाता.,neutral
280,"हे कले वरवी अशिक्षीत, तशेंच अर्दशिक्षीत व्यक्तीनी आपली रचनात्मक तांक व्यक्त केली.",positive
281,"टि.बी., डि.पि.टी., पोलियो आनी फुगांवां खातीर भुरग्यांचें लसीकरण.",neutral
282,पुराय वर्सा तुमी केन्नाय वचात सगळें रुतू वर्सभर आकर्शक आसता.,positive
283,"जांगडां, मान आनी खांके हातूंत चरबी केन्ना उणी, जाता केन्ना वाडटा.",neutral
284,हाका लागून निरशेवणी उणी जाता.,positive
285,कित्याक जाता ?,neutral
286,उदक आमचे जिणेंत सगल्यांत म्हत्वाचें पेय.,positive
287,एके वटेन उंटांचो कळप ल्हवल्हव अस्तंते वटेन वतालो.,negative
