english,konkani,label
Use Sound Expander (loudspeakers)  in this era of science has grown accessible.,विज्ञानाच्या ह्या युगांत ध्वनी प्रसारकाचो ( लावड स्पीकर ) वापर खूब सोंपो जालो.,neutral
Used for these problems will be producing more under Mridaaa organize fodder.,ह्या समस्यां खातीर वापरिल्ल्यो माती वेवस्थीत पुरवण करतकच चड उत्पादक जातलीं.,negative
Useful hearing aids for deaf people is basically a small electronic device.,भेड्डया व्यक्‍तीं खातीर आयकुपाक उपेगी श्रवणयंत्र मुळांत एक ल्हानशें इलॅक्ट्रॉनीक उपकरण.,positive
Using it at night may cause you to stay awake all night.,रातचें हाचो प्रयोग केल्ल्यान तुमकां रातभर जगूंक पडूं येता.,neutral
"Using them, the yield of the crop increases by 1 2 percent.",हांच्या प्रयोगान पीकेच्या उत्पादनांत १० ते २० प्रतिशें मेरेन वाड जाता.,neutral
Ustad Ali who sarod playing Akbar Khan will not familiar music lover?,उस्ताद अली अकबर खाँ हाचे सरोद वादनान खंयचो संगीत मोगी परिknjkचीत आसचो ना ?,negative
Uttar Pradesh is also making its indelible mark in terms of tourism.,पर्यटनाचे नदरेन लेगीत उत्तरप्रदेश आपली अतूट छाप धरून आसा.,neutral
"Uttar Pradesh is India's first state, which has produced the most wheat.","उत्तर प्रदेश हें देशांतलें मुखेल राज्य आसा, जंय सगळ्यांत चड गंवाचें उत्पादन जाला.",neutral
Uuminol is very beneficial in small amounts of leucorrhoea and short duration.,"युमिनोल वखदां, म्हयन्याचें उण्या प्रमाणांत आनी थोड्या काळा मेरेन येवपाक खूब फायद्याचें.",positive
Vaginal testicles growth This disease is divided into the following parts -,योनीगत अंडकोशाची वाड ह्या दुयेंसाक सकयल दिल्ले प्रमाणें वांटला -,positive
"Vajrasana is the meditative posture, which removes the fickleness of the mind.","वज्रासन हें एक ध्यानात्मक आसन, जें मनाची चंचळटाय पयस करता.",positive
Valley of Flowers was given the status of National Park in 1982.,फुलांचे घांटयेक 1982त राष्ट्रीय बागेचो दर्जो दिलो.,neutral
Valmiki National Park is spread over an area of ​​338 sq. Colometer.,वाल्मिकी राष्ट्रीय उद्यान ३३८ चौखण किलोमिटर वाठारांत पातळ्ळां.,neutral
Van Vihar is a different kind of zoo located near Bhopal city.,भोपाल शाराचे लागीं आशिल्लें प्राणीसंग्रहालय एक वेगळेच प्रकारचें प्राणीसंग्रहालय.,neutral
Vanaraghatta National Park is spread over 104 square kilometers in Bangalore district.,वनरघट्‍टा राष्‍ट्रीय उद्यान बेंगळुरू जिल्ल्यांत १०४ चौखण किलोमिटरांचेर पातळ्ळां.,neutral
Vapor can be smelled by adding a few drops to hot water.,गरम उदकांत कांय थेंबे घालून वास घेवं येता.,neutral
Various means of production must be replaced in what proportion? etc .,उत्पादनाच्या वेगळ्यावेगळ्या साधनांक कसल्या दरांत प्रतिस्थापीत करूंक जाय ? बी.,neutral
"Varkala railway station, 8 km from Anchutengu. Is at a distance of.",अंचुतेंगू सावन वर्कला रेल्वे स्टेशन 8 किलोमिटर अंतराचेर आसा.,neutral
Vaseline The drug of Vaseline is blue and sun charged in red.,वॅसलीन वॅसलिनाचें वखद निळो रंग आनी तांबडो रंग हातूंत सुर्यान चार्ज करतात.,negative
"Veer Marg, Raghunath Bazaar and Hari Market are other markets in Jammu.","वीर मार्ग , रघुनाथ बाजार आनी हरी मार्केट हे जम्मूंतले हेर बाजार.",neutral
Veerabhadra Chatti is on the banks of a river called Veera Ganga.,वीरभद्र थांबपाची सुवात विरा गंगा नांवाचे न्हंयेचे देगेर आसा.,neutral
Veerangana Durgavati also played an important role in the development of Jabalpur.,विरांगना दुर्गावतीन लेगीत जबलपुराच्या विकासांत मोलाची भुमिका केल्या.,positive
Vegetable Salads digest food and provide nutrients and keep the stomach clean.,भाजयो सालाद अन्न पचोवन पोशक तत्व दितात आनी पोट लींप दवरतात.,positive
Vegetable production in the first year is 25 3 q / ha.,पयल्या वर्सांत भाजयेचें उत्पादन २५० ३०० क्विंटल / हॅक्टर आसता.,positive
Vegetation is graded with the help of manpower (by hands) and machines.,भाजयांचें श्रेणीकरण मनीसबळान ( हातान ) आनी मशिनांच्या आदारान करतात.,positive
"Vehicle rent for 12 hours site sewing is Rs. 15,000 to 22,000.","१२ वरांच्या सायट सिंयिंगा खातीर वाहनाचें भाडें रु. १५,००० ते २२,००० मेरेन आसा.",neutral
Very little urine comes out and there is also pain after urination.,मुतूंक खूब उणें जाता आनी मुतले उपरांतूय दुखता.,negative
Very weak patients should give enema only by lying on their mind.,खुबच अशक्त पिडेस्तांक सामकें न्हिदोवन एनिमा दिवपाक जाय.,negative
Videos or motion picture camera's image draws per second 24 frames (images).,चलचित्र वा मोशन पिक्चर कॅमेरा हें चित्र २४ फ्रेम ( चित्र ) प्रती सेंकडाच्या दरान काडटा.,neutral
View as something that was handed over to the hands and books.,दृश्य अशें आशिल्लें की हातांत हात चड आशिल्लें आनी पुस्तकां कमी.,neutral
VIII category land forest system is considered unsuitable for grazing and farming.,आठवी श्रेणी ही जमीन वन वेवस्था मरड वा शेती खातीर अयोग्य मानतात.,neutral
Vip The natural beauty of Bhopal from the road provides immense pleasure.,विआयपी रस्त्या सावन भोपालाची सैमीक सोबीतकाय उपाट सुखाचो अणभव करून दिता.,positive
Visit you throughout the year anytime. The weather remains pleasant all year.,पुराय वर्सा तुमी केन्नाय वचात सगळें रुतू वर्सभर आकर्शक आसता.,positive
Visits Priyanka are extremely happy to accept them as a good actress.,दर्शक तिका एक बरी नायिका म्हूण स्वीकार करतात हे गजालीचेर प्रियंका खूब खोशी आसा.,positive
Vitamin A deficiency causes xerophthalmia or dry eye inflammation (dry eye) disease.,ए जिवनसत्वाचो उणाव झिरोफ्थालमिया ( दोळे सुकप ) ह्या दुयेंसाक जल्म दिता.,positive
Vitamin-A deficiency is more prevalent in the case of measles and malnutrition.,जिवनसत्व-ए उणें जाल्ल्यान कॉर्निया अशक्त जाता वा घाय जातात. ताका लागून अखेरेक कुड्डेपण येता.,neutral
Voice of Sukhwinder is filled with vigor and enthusiasm to any song.,सुखविंदराचो आवाज कसल्याय गिताक ओजान आनी जोशान भरता.,positive
Vomiting Minerals are also removed along with body water due to diarrhea.,ओंकपाक आनी भायर जाल्ल्यान आंगांतल्या उदका वांगडाच मिनरल्स लेगीत वता.,neutral
"Vrindavan Garden of Mysore, located 19 km from Mysore, is world famous.",मैसूरा सावन १९ किलोमिटर अंतराचेर आशिल्लें मैसूर वृंदावन गार्डन संवसारभर प्रसिद्द आसा.,neutral
"Walk the brisk at least 45 minutes daily, that is, walk fast.",उण्यांत उणें सद्‍दां 45 मिणटां मेरेन ब्रिस्क वॉक करचें म्हणल्यार सडसडीत चलचें.,positive
Walking and cycling paths are built in the thick shade of trees.,झाडांचे दाट सावळेंत पांयांनी चलपाचे आनी सायकल चलोवपाचे रस्ते केल्यात.,neutral
"Walnuts, grapes, black cumin and saffron give different identity to this valley.","अखरोट , द्राक्षां , काळजिरें आनी केसर हीं हे घांटीची वेगळी वळख घडयतात.",neutral
Wangdochholing (palace) built in Zakar is the birthplace of the first King.,जकरांत बांदिल्लें वांगदोछोलिंग ( महाल ) राजा पयलो हाची जल्माची सुवात.,neutral
Warts and crystals are not forming in the legs of the patient.,दुयेंतीच्या पांयांक चामखीळ आनी किणक तर तयार जायना मूं.,neutral
"Warts occur in viral infections, causing small hard blisters on the skin.","वायरल इन्फॅक्शनांत चामखीळ जातात, जाका लागून कातीर ल्हान ल्हान घट फोड येतात.",negative
Wash the mouth with pure water fifteen minutes after applying rose water.,गुलाबपाणी लावपाच्या पंदरा मिणटां उपरांत शुद्ध उदकान मुखामळ धुवचें.,neutral
"Wash your hands thoroughly before going to the kitchen, then dry them.","रांदचे कुडींत वच्चे पयलीं तुमचे हात बरे तरेन नितळ करात, मागीर सुकयात.",neutral
Water also has an important place in our life to protect health.,भलायकेचे राखणे खातीर उदकाची लेगीत आमचे जिणेंत म्हत्वाची सुवात आसा.,positive
Water in rural areas is usually available from the above mentioned sources.,गांवगिर्‍या वाठारांत उदक चडशें वयर दिल्ल्या स्रोतांतल्यान मेळटा.,neutral
Water is used here to treat skin diseases and diseases like arthritis.,काती संबंदी दुयेंसां आनी आर्थरायटीस सारक्या दुयेंसांच्या उपचारा खातीर हांगाच्या उदकाचो वापर करतात.,positive
Water of Panchet Dam also irrigates about 2.7 lakh hectares of land.,पंचेत धरणाच्या उदकान सुमार 2.7 लाख हॅक्टेर भूंय शिंपतात.,neutral
Water plays an important role in maintaining the temperature of the body.,कुडीचें तापमान नियंत्रीत दवरपा खातीर उदकाचें म्हत्त्वाचें योगदान आसा.,positive
"We all have an obligation to guard against mosquito-borne malaria, dengue, etc.","जळारां पसून जावपी जीव घेवपी दुयेंसां मलेरिया, डेंगू, बी हांचे पसून स्वताक वाटावप हें आमचे सगल्यांचें कर्तव्य.",neutral
We are often able to see these watercourses on film or television.,ही पाणबुडी आमच्यांनी फकत फिल्मांनी वा टेलिविझ्यनाचेर पळोवं येता.,neutral
We are talking about 'Champs सीlysées (although Fench calls it as Shawanjilje)'.,आमी गजाल करतात चॅम्प्स एलिसीजाची ( हाका फ्रॅञ्च शवानलिजेच्या नांवान वळखतात ).,positive
"We decide our food, clothing and everyday tasks according to the season.","आमी मोसमा प्रमाणूच आमचें खाण जेवण, न्हेसप आनी सदचें काम थारायतात.",neutral
We have a lot of time to do something in growing age.,वाडटे पिरायेंत कितेंय करपाक आमचे कडेन खूब वेळ आसता.,positive
We nature so tormented that broke out as his displeasure environmental ills.,आमी सैमाक इतलें सतयला की ताचो राग पर्यावरण संबंदी सगल्या समस्यांच्या रुपांत मुखार आयली.,negative
We reached the Jaffran Indian Restaurant at night after seeing a lot.,कितलेंशेंच पळयत आयकत आमी जाफरान भारतीय उपहारगृहांत पावले.,positive
We returned with a captivating tableau of Manyara's very rich forest-animal wealth.,मनयाराची खूब समृद्ध रान प्राणी आस्पतीची मनभुलयणी सया मनांत भरून आमी परतले.,positive
We set out for a walk after bathing in the guest house.,गेस्ट हावजांत सामान दवरून न्हावन धुवंन आमी पासयेक गेलीं.,neutral
We took the direction of Maungar with the help of the river.,आमी न्हंयेच्या आदारान मौंगराची दिशा धरली.,positive
We were on the southwest slope of the famous 'Thrumasingala Wildlife Conservationsite.,प्रसिद्‍ध थ्रुमसिंगला रान संरक्षण सुवातेच्या आमी दक्षीण अस्तंती देगणाचेर आशिल्ले.,neutral
Weekly facility is also available to reach this coast by sea vessels.,दर्यांतल्या बोटींनी लेगीत हे देगे मेरेन वचपाची साप्‍ताहीक सुविधा आसा.,neutral
Weight bubble: This disease is caused by a fungus called Mycogon perniciosa.,वॅट बबल : हो रोग माइकोगोन पर्नीसिओसा नांवाच्या बुरशीं पसून जाता.,neutral
Well almost tide-like order in Grhnikrn order nutrients and dry matter accumulation.,तशें पोशक तत्वांक स्वीकार करपाचो क्रम आनी शुष्क पदार्थांक सांठोवन सादारण ज्वारी भशेनूच क्रम आसा.,positive
"Well here is the mother of course, but just his presence name.",तशें हांगा आवय आसा पूण ताची उपस्थिती नांव खातीर आसा.,positive
Well it would be better to check how much sleep you need.,तुमकां कितली न्हीद जाय हें तुमी तपासल्यार बरें जातलें.,positive
Were direct sown sorghum is growing very slow in the first month.,सरळ रोंयिल्ली ज्वारी पयल्या म्हयन्यांत खूब कमी गतीन वाडटा.,positive
Were suffering from paralysis in his later years and lost his memory.,जाणटेपणांत अर्धांगा पसून पिडीत जालो आनी स्वताची स्मृती लेगीत वगडायली.,negative
"what does it mean ? I'm tired, go now I don't. ''","हाचोच अर्थ कितें ? हांव थकलां, वच, हांव आतां करिना.",negative
What if someone is not allowed to sleep for several consecutive days?,कितें जातलें जर कोणाकूय सेगीत कांय दिसां मेरेन न्हिदपाक दिलेना जाल्यार ?,neutral
What is the identity of bone TV and what is its treatment?,हाडाचो टिबी कसो वळखप ? हाचेर उपाय कितें ?,neutral
What is usually lacking in children's food is omega three fatty acids.,भुरग्यांच्या जेवणांत सादारणपणान जाचो उणाव आसता तें म्हणल्यार ओमॅगा थ्री फॅटी एसीड.,neutral
What may have been left in Vatyasana's Kamasutra is depicted in Khajuraho.,वात्यासनाच्या कामसुत्रांत जें चुकलां तें खजुराहोक चित्रीत आसा.,neutral
What surprised Kahl the most was the interaction between these nerve cells.,काहलाक जे गजालीन सगल्यांत चड अजापीत केलो ती म्हणल्यार ह्या तंत्रिकापेशीं भितरली आपसांतली संपर्क विधी.,positive
"Whatever the mind of children wants to eat upside down, they eat.","भुरग्यांच्या मनाक जें कितें उरफाटें सुरफाटें खायनशें दिसता, तें तीं खातात.",neutral
"When 90 percent of the cells die, the patient sees some symptoms.",जेन्ना ९० प्रतिशें पेशी मरतात तेन्ना पिडेस्ताक कांय लक्षणां दिश्टी पडटात.,negative
"When a normal chair is mounted, it is called a wheel chair.",जेन्ना साद्याश्या कदेलाक रोदां लायलीं जाल्यार ताका रोदांचें कदेल म्हणटात.,neutral
"When all the fluid comes out, the device should also be removed.",जेन्ना सगळो द्रव भायर येतलो तेन्ना यंत्रणाक लेगीत काडटात.,neutral
"When children between 12 and 18 months start walking, they sometimes fall.",१२ १८ म्हयन्याचे भुरगे जेन्ना चलपाक सुरू करतात तेन्ना ते खूबश्या फावटीं पडटात.,neutral
"When going to the mountain, do not forget to keep woolen clothes.",दोंगरार वतात जाल्यार गरम कपडे घेवपाक विसरूं नाकात.,positive
"When Major Martin died in the year 1800, he was buried here.","१८०० ह्या वर्सा जेन्ना मेजर मार्टीन संवसाराक अंतरलो , तेन्ना ताका हांगाच पुरिल्लो.",negative
"When Michael was alive, had a debt of 5 million on them.","जो मेरेन मायकल जितो आशिल्लो, ताचेर ५० करोडाचें रीण आशिल्लें.",neutral
"When pregnant, massage with cocoa butter on tummy, hips, breast and legs.","जेन्ना गुरवार आसतात, तेन्ना पोट, कुले, स्तन आनी पांय हांचेर कोको बटरान रगडचें.",neutral
"When rotting occurs in them, millions of germs and bacteria are produced.",जेन्ना ते किडेतात तेन्ना लाखांनी किटाणू आनी जंतू ( बॅक्टेरिया ) उत्पन्न जातात.,neutral
When she was three years old his family moved to the US.,जेन्ना ती तीन वर्सांची आशिल्ली तेन्ना तिचें कुटूंब अमेरिकेक गेलें.,neutral
"When spontaneous fibers open, this pressure exits suddenly and with great velocity.",जेन्ना स्वर तंतू उकतो जाता तेन्ना हो दाब अचकीत आनी खुबूच वेगान भायर सरता.,positive
"When the amount of stress increases, it weakens and reduces our endurance.",जेन्ना ताणाचें प्रमाण वाडटा तेन्ना हो आमची सहनशक्‍त काबार आनी उणी करता.,negative
"When the austerity dissolved, the sage angrily turned the nymphs to stone.",तपस्याभंग जाले उपरांत रुशीन रागाच्या भरांत त्या अप्सरांक फातर केले.,negative
"When the body temperature falls below 32 ° C, the shivering ends.",जेन्ना कुडीचें तापमान 32 डिग्री सेल्सीयसा परस उणें जाता तेन्ना थरथरो काबार जाता.,neutral
"When the danger is averted, the baboons come down from the tree.",घात टळ्ळे उपरांत बबून झाडा वयल्यान सकयल येतात.,negative
"When the fist is sunk within the ice, it becomes soft ice.",जेन्ना मूठ बर्फांत भितर मुंगरता तेन्ना तो मोव बर्फ आसता.,neutral
"When the hiccup starts, swallow some sugar grains, then the hiccup stops.",उचकेचो आताक सुरू जातकच साकरीचे कांय दाणे गिळिल्ल्यान उचक्यो येवपाच्यो बंद जाता.,negative
"When the mixture starts to dry, make tablets equal to its gram.",जेन्ना मिश्रण घट जातलें तेन्ना ताच्यो चण्या येद्यो गुळयो तयार करात.,neutral
"When the Nilkurinjis bloom, the hills look as if immersed in blue.",निलकुरिंजीचीं फुलां फुलतकच दोंगर निळ्या रंगान भरिल्ले दिसतात.,neutral
"When the patient becomes well, whitewash should be done in his room.",दुयेंती बरो जातकच ताची कूड निवळ करात.,positive
"When the patient is standing, his head and torso are bowed forward.",जेन्ना पिडेस्त उबो रावता तेन्ना ताची तकली आनी आंग मुखा वयले वटेन वांकता.,neutral
"When the pot is red, the peacock feathers inside will be consumed.",आयदन तांबडें जाल्या उपरांत भितर दवरिल्ल्या मोर पांखांचें भस्म जातलें.,neutral
"When the queen reached Orchha, she kept this idol in her palace.",जेन्ना रानी ओरछाक पावली तेन्ना तिणें ही मूर्त आपल्या महालांत दवरली.,positive
When the sages cruises notifications of the state were the other states.,रुशीगण परिभ्रमण करतना एका राज्याची सुचना दुसर्‍या राज्यांक दिताले.,neutral
"When the second procession was called, the police showed its true form.",दुसरी मिरवणूक येवपाचो अदमास आयलो तेन्ना पुलिसांनी खरें रूप दाखयलें.,positive
"When the snow has melted, there is greenery in the rainy atmosphere.",जेन्ना झेल विरगळटा तेन्ना पावसान न्हाल्ल्या वातावरणांत हरयाळी पसरून आसता.,negative
"When the stool comes into the rectum, the patient causes rapid defecation.",जेन्ना गू भोंकांत येवन पिडेस्ताक हागूंक वचपाक खर इत्सा जाता.,neutral
"When the ulcer is in the duodenum, it is called duodenal ulcer.",जेन्ना अल्सर ड्युडॅनमांत आसता तेन्ना ताका ड्युडॅनल अल्सर म्हणटात.,neutral
When there is only oil left then lukewarm it in the ear.,फकत तेल उरत जाल्यार तें दुगदुगीत करून कानांत घालात.,neutral
When they were only 4 years old went to the father's death.,तो फकत ४ वर्सांचोच आशिल्लो तेन्नाच ताच्या बापायचें निधन जालें.,negative
"When this disease becomes chronic, it becomes unbearable and causes many diseases.",हीच पिडा जेन्ना पोरणी जाता तेन्ना सोंसूं नजो जाता आनी जायत्या पिडांचें कारण जाता.,neutral
"When this gland is activated, the capacity and intensity in life increases.",जेन्ना ह्यो ग्रंथी सक्रीय जातात तेन्ना जिणेंत तांक आनी वेग वाडटा.,neutral
"When this ulcer is in the stomach, it is called gastric ulcer.",जेन्ना हो अल्सर पोटांत आसता तेन्ना हाका गॅस्ट्रीक अल्सर म्हणटात.,neutral
"When wet ice is pressed, hands stick and water appears in them.",वलो बर्फ चिड्डिल्यार हातांक चिकट्‌टा आनी तातूंत उदक दिश्टी पडटा.,neutral
"When worms bite into the anus, sleep is blown from the eyes.",जेन्ना दंत भोंकांत चावतात तेन्ना दोळ्यांची न्हीद उडटा.,neutral
"Whenever a passenger pays a price, ask to see the price list.",यात्री कोणाकूय बी पयशे फारीक करतले तेन्ना मोल वळेरी दाखोवपाचो आगरो करात.,neutral
"Whenever a ship has to pass through the sea, it is rotated.",दर्यांतल्यान जेन्ना खंयचेंय तारूं हांगा सावन वता तेन्ना हो घुंवडायतात.,neutral
"Whenever he feels absolutely happy, he suddenly reaches a state of depression.",तो केन्ना स्वताक एकदम खोशी जाल्लेवरी अणभवता तर एकदम अवसादाचे स्थितींतूय पावता.,positive
"Whenever you feel thirsty, drink it, but do not exceed the quantity.","तुमकां केन्नाय तान लागल्या आसत, पियेयात पूण प्रमाण चड आसचें न्हय.",neutral
"Whenever you feel tired or lethargic, include green peas in your diet.",जेन्ना थकवो वा आळस जाणवता तेन्ना पाचवो वाटाणो मुखेल रुपान तुमच्या जेवणांत आसपायात.,negative
Where the ascending can die of suffocating under the amber of ice.,जंय चडपी बर्फाचे राशी पोंदा स्वास अंदून मरूं येता.,negative
Where the desired and where the place got there he could sit.,जाका जंय जाय आनी जाका जंय सुवात मेळटा थंयच तो बसूंक शकता.,positive
"Where there used to be only rice, the wheat crop started swaying.","जंय फकत तांदुळूच पिकयताले, थंय गंवाची लेगीत पीक रुजपाक लागलीं.",neutral
Whereas the number of farmers who are being trained today is negligible.,पूण आयज ज्या शेतकारांक प्रशिक्षण दितात तांची संख्या सामकी उणी आसा.,positive
"Which also has branches overseas, and it is recognized by the CBSE.",जाचे विदेशांतूय विभाग आसा आनी हाका सीबीएसईंतल्यान मान्यताय प्राप्त आसा.,neutral
Which are absorbed by water in transparent bottles of the same color.,जीं त्याच रंगाच्या पारदर्शी बाटल्यांनी उदका वरवीं सोकतात.,neutral
Which attract fishes and other small creatures and make them their prey.,जें नुस्त्यांक वा हेर ल्हान जिवांक आपले वटेन ओडून तांकां आपली शिकार करता.,positive
"Which came first, he sat forward, which came after he sat back.","जो पयली आयला तो मुखार बसता, जो उपरांत आयला तो फाटल्यान बसता.",neutral
"Which includes the program based on news, culture, science and current events.","जातूंत खबरो, संस्कृती, विज्ञान आनी वर्तमान काळाच्या घडणुकांचेर आदारीत कार्यक्रम सामील जातात.",neutral
"Which is extremely difficult to cross, because its climb is quite steep.","जी हुपप सामकें कठीण , कारण ताची चडटी बरीच वांकडी आसा.",negative
Which is the most productive time in terms of career and work.,जो कारकीर्द वा वेवसायांचें नदरेन सगळ्यांत फायद्याचो असो काळ.,neutral
Which is working on a large scale for the development of agriculture.,ज्यो शेतीचो विकास करपाक व्यापक स्तराचेर कार्य करता.,neutral
"Which led to diseases in agriculture, growing outbreak of pests and weeds.","जाका लागून शेतींत रोग, किडें आनी नडणी हांचो प्रकोप वाडपाक लागलो.",positive
Which means the quality of our products is as important as productivity.,"म्हळ्यार आतां आमच्या उत्पन्नाची गुणवत्ताय तितलीच गरजेची आसा, जितली उत्पादकताय.",positive
Which organ is in pain depends on which nerve fiber is affected.,दूख खंयच्या भागांत आसा हें हाचेर आदारून आसता की खंयचो तंत्रिका तंतूं प्रभावीत जाला.,negative
Which would destroy the present harmful pests and weeds in the soil.,जाचे पसून मातयेंत उपस्थीत आशिल्ले लुकसाणदिणें किडे आनी नडणी नाश जाता.,negative
"While exhaling, release your hands slowly and hang them on both sides.",स्वास सोडटना तुमचे हात सवकास सोडात आनी ते दोनांय वटांनी लोमकळयात.,neutral
"While going in the sun, do not forget to apply sun glasses.",वतांत वतना वताचें ओक्ल लावपाक विसरूं नाकात.,positive
"While going there, the beauty of bad flowers is seen scattered everywhere.",थंय वतना सगले वटेन बुराँशाच्या फुलांचें सौदर्य पातळिल्लें दिश्टी पडटा.,positive
"While massaging, keep the hair tied separately from the face and neck.",मालीश करतना केंसांक तोंडा पसून आनी माने पसून वेगळे बांदून दवरात.,neutral
While obtained 18 percent of the oil from fruit peels in India.,जाल्यारूय भारतांत फळांचे सालीं पसून १८ प्रतिशें तेल प्राप्त करतात.,neutral
While the need for much of today's conventional farming in the country.,खरें म्हटल्यार देशांत आयज पारंपारीक शेतीची चड गरज आसा.,neutral
While to reduce the amount of fat is required a balanced diet.,जाल्यार चरबेचें प्रमाण उणें करपा खातीर गरज आसता संतुळीत आहाराची.,neutral
While we put more weight on it as breakfast in the morning.,जाल्यार आमी सकाळचें नाश्त्याच्या रुपान ताचे वयर चड भार घालतात.,neutral
Who has at least one child over the age of one year.,जांकां एका वर्सा परस चड पिरायेचें उण्यांत उणें एक भुरगें आसा.,neutral
Who is ultimately responsible behind the continuous growth in related crimes occurring.,बायलांच्या संबंदींत गुन्यांवांनी सेगीत जावपी वाडीक कोण जापसालदार आसा ?,positive
"Who plays tough role, whether it's the elderly, but should be dedicated.","जी कठीण भुमिका आसा, तातूंत जाणट्याचो पार्ट आसूं, पूण समर्पीत जावपाक जाय.",positive
Whose width is about one meter and height is about four meters.,जाची रुंदाय एक मिटर आनी उंचाय चार मिटर सुमार आसा.,neutral
Why is a voluntary blood donor preferred over a professional blood donor?,स्वेत्शेच्या रक्‍तदात्याक वेवसायीक रक्‍तदात्या परस चड कित्याक पसंत करतात ?,neutral
Wife of music is a big cooperation of Mr. Choudhury in practice.,घरकान्नीचे संगीत साधनेंत श्री चौधरी हाचो व्हड सहयोग आसता.,neutral
Wild animals found in Saddlepeak National Park are wild boar and chital.,सॅडलपीक राष्‍ट्रीय उद्यानांत मेळपी रानटी जनावरां रानदुकर आनी चितळां आसात.,neutral
Wild donkeys are found in the northern area of ​​Lake Tso Moiri.,त्सो मोइरी तळ्याचे उत्तरेक रानटी गाढवां मेळटात.,neutral
Wild elephants in the initial condition was not anything material Pan food.,सुरवातेच्या अवस्थेंत रानटी हतयांक पान जेवणाची कसलीच सामग्री दिनाशिल्ले.,neutral
Will be eminent degree of affectation narrative composed of a film story.,खंयच्याय सिनेमाच्या काणयेक धरून रचिल्लें सवंग कथेच्या विख्यात दर्ज्यांतूच येतले.,neutral
Will bring great industrial businesses with oilseed crops coordinated overall development system.,समन्वयीत पुराय विकास प्रणालींत तेलबीं पिके बरोबर उपयुक्त उद्योग धंद्याक हाडचे पडटले.,positive
William Poly led CBS network's progressed and it was a massive expansion.,विलियम पालीच्या फुडारपणा खाला  सीबीएस नेटवर्कान  खूब प्रगती केली आनी ताचें व्हड प्रमाणाचेर विस्तार जालें.,neutral
Winning movies ongoing process to determine the prize money to be given.,जैतिवंत सिनेमांक दिवपी पुरस्काराची रक्कम थारावपाची प्रक्रिया चलता.,positive
Winter Eyes turn red when Ramad originates from heat or dirty water.,थंडी गरमी वा म्हेळ्या उदकान रमदाची उत्पत्ती जाल्ल्यान दोळे तांबडे जातात.,negative
With it also made sure to prepare many plants from the laboratory.,वांगडाच हेंय बी सुनिश्चीत करपाक जाय की ह्या प्रयोगशाळेंतल्यान कितलीं झाडां तयार करतात.,positive
With figures as Bipasha Basu are also known for their style statement.,फिगरा वांगडा बिपाशा बसू आपल्या स्टायल स्टेटमेंटा खातिरूय वळखता.,neutral
"With its use, we can control the weeds along with saving water.",हाचो वापर केल्ल्यान उदकाचे बचती वांगडाच नडणेक नियंत्रीत करूंक शकता.,neutral
With pictures where news is tempting to think while increasing its reliability.,चित्रा वांगडा जंय समाचार आकर्शक दिसता थंयच ताची पातयेवणी लेगीत वाडटा.,neutral
"With Shamsher, Raghupati Sahai etc. They are also associated with the PWA.","शमशेर, रघुपती सहाय बी हांचे बरोबर तो प्रगतीशील लेखक संघा कडेनूय जोडून उरलो.",neutral
With the complexity of the make-up is also practical experience ends with.,मेकअपाच्या जटिलताये वांगडा वेव्हारीक अणभव साध्य लेगीत आसा.,neutral
