English,konkani,Sentiment
Late fourteen years of age Panna Lal Ghosh began flute.,चवदा वर्साचे पिरायेर सर्गेस्त पन्नालाल घोशान बांसुरी वाजोवपाक सुरू केलें.,Negative
This fort has a small temple dedicated to Bhairav.,ह्या कोटांत भैरवाक ओंपिल्लें एक ल्हान देवूळ आसा.,Negative
Increase the amount of sugar and carbohydrates in the food.,जेवणांत साकर आनी कार्बोहायड्रेटाचें प्रमाण थोडें वाडयात.,Neutral
Khan Sahib thin was a man of slender body.,खाँ सायब किडकिडीत आंगाचो मनीस आशिल्लो.,Negative
It is better to keep the feet protected in winter.,अशें केल्यार बरें की शिंयांत पांय सांबाळून दवरचे.,Positive
"Domestic detergents, cleaning chemicals and shampoos are its main factors.","घरगुती डिटर्जेंट, नितळसाणीचे रसायन आनी शांपू हाचें मुखेल कारक.",Neutral
The effect is a third than Pirethm conclusion.,हाचो प्रभाव पायरेथम निश्कर्शाच्या तुळेंत एक तृतियांश आसा.,Neutral
Race Saif since to be hit also joined the race.,रेस टू हीट जातकच सैफय ह्या सर्तींत सहभागी जाल्यांत.,Neutral
Vashishtha sage was common here in ancient times.,आदल्या काळार हांगा वशिट रूशींची सुवात आशिल्ली.,Negative
Children get a chance to run and shout with joy.,भुरग्यांक धांवपाची आनी उमेदीन बोवाळ करपाची संद मेळटा.,Positive
This is more the case with older men.,चड पिरायेच्या दादल्यांचे बाबतींत अशें चड जाता.,Positive
Morning is the best time to reach this place.,फांतोडेर हे सुवातेर वचपाचो एकदम बरो वेळ.,Positive
This rite Indian life pattern of the original.,हो संस्कार भारतीय जीणे पद्दतीचें मूळ.,Positive
"Dramatization of dialogue, interview, drama should be more more importance.","संवाद, भासाभास, नाटकांनी बी नाटकीकरणाक चडान चड म्हत्व दिवंक जाय.",Positive
Athwadiya Temple is a famous temple of Lord Radha-Krishna.,अठवाडिया देवूळ राधा-कृष्णाचें देवूळ.,Positive
These negative waves sometimes permeate the environment around us.,हीं न्हयकारी ल्हारां केन्ना केन्ना आमच्या सरभोंवतणच्या वातावरणांतूय पसरिल्लीं आसतात.,Negative
The patient makes you feel very weak and restless.,दुयेंतीक आपूण सामको अशक्त आनी बैचेन जाल्ले भशेन जाणवता.,Negative
"Organized retail consumers, producers and mediators is beneficial for all.","संघटीत किरकोळ वेपार उपभोक्ता, उत्पादक आनी मधेस्त सगल्यां खातीर फायदेशीर आसा.",Neutral
Rotary basis has been recommended for better quality cocoon production.,बर्‍या गुणवत्तेचे कोकून उत्पादना खातीर रोटरी आदाराची शिफारस केल्या.,Positive
There is a shortage of drinking water in summer.,गर्मेच्या दिसांनी पियेवपाच्या उदकाचो उणाव आसता.,Neutral
"Gram, peanuts can be used in comparison to expensive fruits.","म्हारग मेव्याचे तुळेंत चणे, भिकणां हांचो उपेग करूं येता.",Negative
Plants Jadhinuma medium height and consists of more branches.,रोंपे मध्यम लांबी आशिल्लें झोपां आनी चड खांद्यो आसतात.,Positive
Find out about round trips instead of two way tickets.,येते वते तिकेटी परस भोंवाड्या प्रवासा विशीं खबर काडात.,Neutral
Allowed to keep healthy is a contributing animal feed.,जनावरांक निरोगी दवरपांत जनांवरांच्या जेवणाचें खूब योगदान आसता.,Positive
Panchgagh is the place for 5 waterfalls to fall together.,पंचघाघ ही पांच घोगे एकाच बाराबर वोतपाची सुवात.,Neutral
You can visit the World's Basot History Museum.,वर्ल्डस बसोट हिस्ट्री म्युझियमांत वचूं येता.,Neutral
Eat food at least five times throughout the day.,पुराय दिसाक उण्यांत उणें पांच फावटीं खाण खावचें.,Negative
He was diagnosed with cancer for the past three months.,तो फाटल्या तीन म्हयन्या सावन कँसर रोगान पिडीत आशिल्लो.,Negative
Food items should always be kept in a clean place.,खावपाचे जिनस सदां नितळ सुवातेर धांपून दवरपाक जाय.,Positive
That should be expected from the great storyteller.,हीच आशा आसूंक जाय म्हान कथाकारा कडच्यान.,Positive
Making such huge oilseeds was an important task in itself.,इतलीं व्हड व्हड तेलाचीं आयदनां तयार करपा खातीर आपले भितर म्हत्वाचें काम आशिल्लें.,Positive
Price volatility is difficult for Indian onions in international markets.,किंमतीची चडटी देंवती आंतरराष्ट्रीय बाजारांत भारतीय कांद्या खातीर आडखळ हाडता.,Negative
So normally the skin becomes dry with time.,देखून सामान्यपणान काळा वांगडा कात सुकता.,Neutral
They founded the Modern Architectural Research Group Publishing 'routeby.,हाचे वरवीं मॉडर्न आर्किटेक्चरल रिसर्च ग्रुपाचे प्रकाशन  मार्गाक  स्थापीत केलो.,Neutral
In which he played the brother of Raj Kapoor.,हातूंत ताणें राजकपुराच्या भावाची भुमिका केली.,Neutral
Mural paintings are also abundant in Ajanta's cave-2.,अजंताची होंवरी २ वणटीचित्रां भरपूर प्रमाणांत आसात.,Positive
These journalists have turned to courage and risk reporting.,ह्या बायल पत्रकारांनी धिटायेन आनी जोखिमाच्या रिपोर्टींगा वटेन फुडें सरली.,Neutral
Reproductive and Child Health (RCH) is an integrated program.,बाळंटेर आनी बाळ भलायकी ( आर.सी.एच. ) एक एकठांयिल्ली कार्यावळ.,Neutral
Adil Khan was unhappy with him on this point.,आदिल खान हेच गजालीचेर ताचेर बेजार आशिल्लो.,Negative
Symptoms include feeling tired and tired during the day.,दिसाचें थकिल्ले भशेन दिसप आनी चड न्हिदपूय हाच्या लक्षणांनी आसपावलां.,Negative
Most big monasteries have their own events every year.,चडश्या व्हडल्या मठांनी दर वर्सा आपापलें आयोजन जाता.,Positive
One should drink more water throughout the day.,दीसभरांत चड उदक पियेवपाक जाय.,Positive
Children's urinary infection may prove dangerous in the future.,भुरग्यांक मुताचो संसर्ग फुडाराक घाताचो जावं येता.,Negative
"However, South Africa can be visited throughout the year.",तशे सावथ आफ्रिकेक पुराय वर्साक केन्नाय वचूं येता.,Neutral
The climate of Sariska National Park is tropical.,सरिस्का राष्‍ट्रीय उद्यानाचें हवामान उश्णकटीबंधीय आसा.,Neutral
Pap usually occurs after the age of 15 in girls.,सादारणपणान पॅप चलयांक 15 वर्सांचे पिराये उपरांत जावंक लागता.,Negative
Its wood is usually used to make a walking stick.,सामान्यपणान ह्या लाकडांचो प्रयोग पासय मारपा वेळार कामांत हाडपी बडी करपाक उपेगाक पडटात.,Negative
"Traditionally, the farmers farming are difficult to change.",शेतकार शेतीचें पारंपारीक रुपाक बदलपाक त्रास अणभवतात.,Negative
This allows the liver to perform its function smoothly.,हांतल्यान फिग्द ताचें काम योग्य रुपांन करूंक लागता.,Positive
Does not include a plan view and issue legislation.,दृश्य आनी अंक विधान हाची खंयचीच योजना हातूंत आसना.,Neutral
There is also a small market in Gonpa.,गोंपाक ल्हानसो बाजार आसा.,Negative
Lord Vishnu is enshrined in the Devarajaswamy temple of Kanchipuram.,कांचीपुरमाच्या देवराजास्वामी देवळांत भगवान विष्‍णूची मूर्त आसा.,Neutral
"Later, the grains of these grains dry up and crumble.",उपरांत ह्या पुळयांतलें उदक सुकून खुरेंड़ पडटात.,Neutral
"Nowadays, the breast can be replaced by fake breast surgery.",हालीं कापिल्ल्या स्तनाचे सुवातेर नकली स्तन बसोवं येता.,Negative
"In the end, only the cold belt should come.",निमाणे कडेन फकत थंड पट्‍टेचेर येवपाक जाय.,Negative
Laughing A man starts giggling only when he is born.,हांसप किटकिटप मनीस तेन्ना सुरू करता जेन्ना तो जल्म घेता.,Neutral
So had exhausted the possibilities of the print media.,ह्या खातीर प्रिंट मिडीयाच्यो शक्यतायो सोपूंक नात.,Negative
Apply proper fertilizer and fertilizer in the gardens after plowing.,तोडल्या उपरांत बागेंत योग्य प्रमाणान सारें आनी रासायनीक सारें घालचें.,Neutral
Do they also get headache or stomachache after anger?,रागा उपरांत तुमची तकली फोडपाक वा तुमच्या पोटांत दुखपाकूय सुरू जाता.,Negative
Palni is an important pilgrimage for Shaivite devotees today.,पलनी शैव हें भक्तांचे नदरेन एक म्हत्वपूर्ण स्थळ जालां.,Positive
Kala-azar is caused by the bite of sand.,काळो जोर मोटो मूस चाबल्यार जाता.,Neutral
The compress is very much needed for heating.,गरम करपा खातीर शेकपाची खूब गरज आसा.,Positive
These festivals are the main centers of tourist attraction.,हे सण पर्यटकांच्या आकर्शणाचें मुखेल केंद्र.,Neutral
"Not only this, it becomes impossible to walk.","इतलेंच न्हय, चलप अशक्य जाता.",Negative
"Surguja, Raigad and Bilaspur are fast becoming industrial centers.","सरगुजा , रायगड आनी बिलासपूर वेगान उद्‍देगीक केंद्रां जातात.",Positive
Its rent is also Rs 8 10 per person.,ताचेंय भाडें दरेके व्यक्तीक 8 10 रुपया लागतात.,Neutral
Lack of cold storage farmer Potato crop s left.,कोल्ड स्टोरेजाच्या उणावाक लागून शेतकार बटाटाची पीक अशींच सोडटात.,Negative
Mild pain and swelling may be felt at that place.,गांठ वाडून ते सुवातेर मातशी दूख आनी सूज जाणवता.,Positive
At least you will get to see the tiger footprints.,उण्यांत उणें शिवाच्यो पावल खुणो तरी तुमकां पळोवंक मेळटल्यो.,Negative
Pachmarhi's climate is also considered good in terms of health.,भलायकेचे नदरेंतल्यान लेगीत पचमढीचें हवामान बरें मानतात.,Positive
"If you want to lose weight, then reduce it correctly.",जर तुमी वजन देंवोवपाक सोदतात जाल्यार बरे तरेन देंवोवचें.,Neutral
Visits congregation would only laugh as he stood.,दर्शक मंडळी तो उबो रावताच हांसूक लागतात.,Neutral
There is good rail service from Guwahati to Dimapur.,गुवाहाटी सावन दिमापूरा खातीर बरी रेल्वे सेवा आसा.,Positive
Astonishing and peaceful environment is very important in these parks.,ह्या पार्कांनी किण्णताय आनी शांत वातावरण खूब गरजेचें आसता.,Positive
Jeeps are available from Umaria to come to Bandhavgarh (Tala).,उमरिया सावन बांधवगढ ( ताला ) येवपाक जीप मेळाटा.,Positive
Started the struggle to get work in films.,हाचे वांगडा सिनेमांनी काम मेळोवपा खातीर संघर्श सुरू केलो.,Neutral
Barley is also used in making many types of medicines.,ज्वारीचो वापर जायत्या तरांची वखदां तयार करपा खातीर करतात.,Positive
The leaves of jowar are broad and smooth.,ज्वारीची पानां रुंद आनी तेलकट आसतात.,Positive
Hiccups are usually prevented by taking a glass of water.,चडशें एक पेलो उदक पियेल्ल्यान खेळण्यो बंद जातात.,Negative
The shooting had been set on Monday afternoon.,हाच्या शुटींगां खातीर सोमारा दनपारां सेट लायिल्लो.,Neutral
Food parks are also the center of attraction for tourists.,भोंवडेकारां खातीर हांगाचें फूड उद्यानूय आकर्शणाचें केंद्र.,Neutral
Skin cancer is usually spread through lymph vessels.,कातीचो कॅन्सर चड करून लाळेच्या शिरेंतल्यान पातळटा.,Negative
"In Kullu, it is customary to perform special poojas.",कुल्लूक खास पुजा अर्चा करपाची चाल आसा.,Positive
Chicken pox is vaccinated after one year of age.,फुगांवांचें वासीन एका वर्साचे पिराये उपरांत करतात.,Negative
Hundreds of products are being tried to look beautiful.,सोबीत दिसपाचे ओडीन तशें पळोवंक गेल्यार शेंकड्यांनी उत्पादनां वापरतात.,Positive
Appropriate conditions time and method of budding testify success.,उपयुक्त परिस्थिती वेळ आनी बडिंगाचे विधीचे सफळतायेक प्रमाणीत करतात.,Positive
"With this, you too may be vulnerable to dandruff.",हाणें तुमी लेगीत खरडीच्या चपक्यांत येवं येतात.,Negative
Against the press he could not give hard decisions.,प्रेसाचे विरुद्धूय बी तो कठोर निर्णय दिवंक शकना.,Negative
Chettinad is famous for its grand architectural and artistic buildings.,चेट्टिनाड आपल्या व्हड वास्तूपूर्ण आनी कलात्मक भवनां खातीर फामाद आसा.,Positive
"There are many historical temples, mosques and churches here.","हांगा कितलींशींच इतिहासीक देवळां , मशिदी आनी इगर्जो आसात.",Positive
The greenery of Janaki Kund is also visible.,जानकी तळयेची हरयाळीय पळोवपा सारकी आसा,Neutral
Full full professional freedom to work the BBC journalists.,बीबीसीच्या पत्रकारांक काम करपाची पुर्णपणान प्रोफेशनल मेकळीक आसा.,Positive
Now just have to find the right person.,आतां फकत बरो मनीस सोदपाक जाय.,Positive
Peninsular India is commonly known as South India.,सादारणपणान उपखंडीय भारताक दक्षीण भारताच्या रुपांत वळखतात.,Negative
Get it treated as soon as it is detected.,हाचो पत्तो लागना फुडें उपचार करून घेवचे.,Neutral
The sunrise and sunset of Digha is enchanting.,दिघाचो सुर्योदय आनी सुर्यास्त मनभुलयणो आसता.,Neutral
"The architecture, sculpture of Nathmalji's haveli is amazing.","नाथमलजीचे हवेलेची वास्तूकला , शिल्पकला अजापाची आसा.",Positive
The heat waves here keep the atmosphere warm.,हांगाचीं तप्‍तकुंडां हांगाच्या वातावरणाक गरम दवरतात.,Positive
A small amount of diet can be given to him.,ताका इल्ल्या इल्ल्या प्रमाणांत आहार दिव येता.,Negative
Micro histroscope 4 mm Is a composite device of diameter.,मायक्रो हिस्ट्रोस्कोप 4 मिमि व्यासाचें संयुक्त यंत्र.,Neutral
These exercises remove the increased fat of the waist.,ह्या अभ्यासांनी भेंडाचेर वाडिल्ली चरबी पयस वता.,Neutral
"In the year 2004-2005, 560 untrained midwives were trained.",2004 2005 वर्सा 560 अप्रशिक्षीत दायांक प्रशिक्षीत केल्यात.,Neutral
Earned by any individual reputation is not material possessions.,खंयच्याय व्यक्ती वरवीं मेळयल्ली प्रतिश्ठा भौतीक आसपत न्हय.,Neutral
Those that move like a professional on hand drums.,ड्रमाचेर खंयच्याय प्रोफेशनला भशेन ताचो हात वाजता अशें लोक म्हणटात.,Neutral
Today Andaman and Nicobar is no more 'black water'.,आज अंदमान निकोबारांत  काला पानी  उरूंक ना.,Negative
There are some common causes of reproductive system infection.,बाळंटेर तंत्राच्या संसर्गांचीं कांय सामान्य कारणां लेगीत आसतात.,Negative
Surajkund Road is already counted among the dangerous roads.,सुरजकुंड रस्त्याक पयलीं सावनूच भयानक रस्त्यां मदलो मानतात.,Negative
Shrinks legs and wants to lie on his back,दोंके आंवळून फाटीचेर न्हिदूंक सोदता.,Neutral
The Grand Palace is surrounded by 4 large walls.,ग्रॅण्ड पॅलेस ४ व्हड वणटींनी घेरल्या.,Positive
The symptoms of this disease are as follows.,ह्या दुयेंसाचीं लक्षणां हे तरेन आसात.,Neutral
The traffic system in Mumbai is also good.,मुंबयंत येरादारी वेवस्था लेगीत बरी आसा.,Positive
They are considered important for the health of elephants.,तीं हतयांच्या आरोग्याक म्हत्वपूर्ण मानतात.,Positive
The way to reach here is even more picturesque.,हांगा मेरेन पावपाचो रस्तो हाचे परसूय चड मनभुलयणो आसा.,Positive
Helang arrived from Calcutta on the evening of 14 June.,कलकत्त्या सावन 14 जुनाचे सांजेक हेलंग पावलों.,Neutral
The aromatic oils are Easter in a certain amount.,परमळीत तेलांनी एक निश्चीत प्रमाणांत इस्टर आसता.,Positive
National Rail Museum This is a beautiful out door museum.,राष्ट्रीय रेल्वे संग्रहालय हें एक सोबीत आवटडोर संग्रहालय.,Positive
This position should last for half to three minutes.,हे स्थितींत अर्द्या ते तीन मिणटां मेरेन रावूंक जाय.,Neutral
Tourist accommodation houses are available for stay in Khirsu.,खिर्सूक रावपा खातीर पर्यटक विसवघरां आसात.,Positive
Farce keeps excess of chance elements in the plot.,सवंगाचे कथावस्तूंत संयोग तत्व चड प्रमाणांत आसता.,Negative
Everyone is aware of the reach of a TV.,जण एकलो टीवी बाबतींत जाणा.,Positive
Research on the statue of the Bodhisattva is planned.,बोधिसत्वाचे मुर्तेर सोदाची येवजण तयार केल्या.,Neutral
Tourists visiting Shimla do not forget to visit Kufri.,शिमलाक येवपी भोंवडेकार कुफरीक येवपाक विसरनात.,Neutral
But now it is also well liked in India.,पूण आतां भारतांत लेगीत हें खूब मागतात.,Positive
Cancer is caused by uncontrolled growth in body cells.,कॅन्सराच्या पेशींक अनियंत्रीत रुपान वाडिल्ले कारणान जाता.,Neutral
"However, many questions remain about the purity of milk.",खरें म्हणल्यार दुदाचे शुद्धतायेक धरून जायत्या तरांचे प्रस्न पडटात.,Positive
The top end of the rod has a handle.,बडयेच्या वयल्या तोंकार हॅण्डल लायिल्लें आसता.,Positive
"Most movies are made in Hindi, Telugu, Tamil, Kannada.","चडान चड फिल्मां हिंदी, तेलगू, तामीळ, कन्नड भाशांनी तयार करतात.",Positive
"IBN had called the first ""voice started his"" business channel.",आयबीएनान पयलीं  आवाज  ह्या नांवानूच स्वताचो  बिजनेस चॅनल  सुरू केल्लो.,Positive
Pain may also be accompanied by nausea and vomiting.,"वेदने बाराबर जीव मळमळप, ओंकारे येवप असल्यो कागाळी आसतात.",Neutral
Chaubatia is particularly known for its delicious apple orchard.,खास करून चौबटियाक रुचीक आपोलांचे बागे खातीर वळखतात.,Positive
Decided to protest will not end with a small bet.,धरणें ल्हान अटीचेर सोपोवप ना असो निर्णय घेतला.,Negative
Many children do not mind reading these days.,खूबशा भुरग्यांक ह्या दिसांनी अभ्यास करपांत मन लागना.,Positive
Thus the demand for agricultural products is limited.,हे तरेन कृशी उत्पादनांची मागणी शिमीत आसा.,Neutral
"Musical arts are considered three part singing, playing and dancing.","संगीत कलेचीं तीन आंगां मानतात गायन, वादन आनी नृत्य.",Neutral
The building behind Suraj Bhavan is called Purana Mahal.,सुरज भवना फाटल्यान आशिल्ले इमारतीक पोरणो महाल म्हणटात.,Negative
"But today, here in this Kumbha they are uniquely visible.","पूण आयज , हांगा ह्या कुंभांत ते अद्भूत रुपांत एकासारकेच दिसतात.",Positive
"In this disease, exercise of the eyes is very good.",ह्या दुयेंसांत दोळ्यांचो व्यायाम चड बरो.,Positive
Therefore the history here is not very old.,देखून हांगाचो इतिहास चड पोरणो ना.,Neutral
Akhnoor place is popular for fort and picnic spot.,अखनूर सुवात दुर्ग आनी सहलीचे सुवाते खातीर लोकप्रीय आसा.,Positive
Add equal amount of honey to one teaspoon of juice.,एक कुलेर रोसांत तितल्याच प्रमाणांत म्होंव घोळयात.,Neutral
"Henna has a chemical that benefits laprosi, small pox, headache.","मेथयेंत एक रसायन आसता, जें कुश्टरोग, फुगांव, देवी, तकली उसळपा पसून फायदो करता.",Negative
They think that nothing happens with a bad day.,तांकां दिसता एक दीस पत पाळना जाल्यार कांयच जायना.,Negative
"In this disease, the bones become weak and brittle.",ह्या दुयेंसांत हाडां अशक्त आनी भुशीभुशीत जातात.,Negative
"As it gets late in sowing, the yield decreases gradually.",पेरणे खातीर जितलो उशीर जाता तितलें उत्पादन अनुक्रमान घटत वता.,Negative
These nets have a bad effect on photosynthesis.,ह्या जाळ्यांतल्यान प्रकाश संयोगीकरण क्रियेचेर वायट परिणाम पडटा.,Negative
The Kalkaji temple looks like an ordinary Hindu temple.,कालकाजी देवूळ सादारण हिंदू देवळा वरींच दिसता.,Negative
This is why our engineers are successful today.,ह्या कारणाक लागून आयज आमचे इंजिनियर सफळ आसात.,Positive
It is also difficult to move due to muscle tightness.,मासपेशींनी आंवुळणी आयिल्ल्यान हालप धोलपूय कठीण जाता.,Negative
That poison of poison quickly spreads throughout the body.,हें रसायन रुपी वीख रोखडेंच सबंद कुडींत पसरता.,Positive
At night it becomes hard due to freezing of snow.,रातचो बर्फ पडिल्ल्या कारणान घट जाता.,Negative
"Some have passed on, the remaining will come soon.","कांय आयल्याय बी, उरिल्ले बेगिनूच येतले.",Neutral
It was designed by the famous architect Charles Corian.,हाचो आराखडो प्रसिद्द वास्तूशास्त्रज्ञ चार्ल्स कुर्रैयान तयार केल्लो.,Positive
The secret of Gandhi's popularity was his humor.,गांधीजीचे लोकप्रीयतायेचें गुपीत आशिल्लें तांची विनोदप्रियताय.,Negative
"Om Prakash of Valipur, Farrukhabad started the cultivation of mentha.",फर्रुखाबाद वलिपूराच्या ओम प्रकाशान मेंथाचें शेतीची सुरवात केली.,Neutral
No better example of conservation of nature can be found.,सैमीक संरक्षणाचे हाचे परस बरी देख दुसरी मेळची ना.,Negative
Many times precious lives have to be lost.,कितलेशेच फावटीं जाल्यार मोलादीक जीण लेगीत वगडावची पडटा.,Positive
Coriander crop in some areas is sold as the leaves.,कांय वाठारांनी कोथमिरेच्या पीकेक पानांच्या रुपांत विकतात.,Neutral
Official pieces attempted illegal manufacture or sale etc.,सरकारी छाप बी हांची बेकायदेशीर निर्मणी वा विक्रयाचो येत्न.,Negative
"Elephants, stag, tigers, small tail apes etc. are found here.","हती , हरण , वाग , मोटवे शेंपडेचो वानर अशे जिनसांवार प्राणी हांगा मेळटात.",Negative
Do not eat stale food and roadside selling goods.,भेळशेल्लें जेवण आनी रस्त्या कुशीक विकतात तीं खाणां खावचीं न्हय.,Negative
Retail products in India comprises more than 5% foods.,भारतांत किरकोळ बाजाराच्या उत्पादनांत ५० % परस चड खाद्य पदार्थ आसपावल्या.,Positive
How to motivate old people to live longer lives?,जाणट्या लोकांक कशे तरेन चड लांब जीण जगपाक खातीर प्रेरित करचें ?,Neutral
"These are legitimate eminent screenwriter scripture, history agreed.","हातूंत कांय विख्यात कथानक शास्त्रां सहमत आसता, कांय इतिहास सहमत आसतात.",Neutral
Cultivation of coriander in India is in many forms.,भारतांत कोथमिरेची शेती खूब रुपांनी करतात.,Positive
This results in a vicious cycle of infections.,हाचो परिणाम म्हणून संसर्गाचें एक दुश्टचक्र सुरू जाता.,Negative
Viral and influenza are also common problems these days.,वायरल आनी बारखूण लेगीत ह्या दिसांनी सामान्य त्रास.,Negative
Do they express their anger or endure it silently?,ते आपलो राग दाखोवन दितात काय ओग्गी रावून सोंसतात.,Negative
Oxy mask thoroughly cleanses the inner part of the skin.,ऑक्सी मास्क कातीचो भितरलो भाग बरे तरेन निवळ करता.,Neutral
The patient should check his feet regularly every day.,दुयेंतीन आपल्या पांयांची नेमान दर दिसा तपासणी करची.,Neutral
"If you have skin problems, wear cotton in full arms.","जर तुमकां काती संबंदीत समस्या आसा, तर पुराय हाताचे सुती कपडे घालात.",Positive
Biological reasons are more responsible for back pain in women.,बायलां मदीं कमर दुखपा खातीर जैविक कारण चड जापसालदार आसतात.,Positive
I draw pictures of the life of Narmada coast.,नर्मदा देगेच्या लोकजिणेचीं चित्रां काडटां.,Neutral
Entertainment Citylocated in Noida has more than 30 fun rides.,नोयडांत आशिल्लें एण्टरटेनमॅण्ट सिटींत 30 परस चड फन रायड्स आसात.,Positive
Many mycoliths and dyed stones have been found in Satpahar.,सतपहाडाक जायते मायक्रोलीथ तशेंच रंगयिल्ले फातर मेळ्ळ्यात.,Positive
Both having had been due to meet shooting complex.,सुटी आशिल्ल्या कारणान पुराय वाठार शुटिंगाक दिल्लो.,Negative
Home housing scheme is being strongly discussed in the state.,प्रदेशांत गृह आवास येवजणेची व्हड भासाभास जाता.,Positive
This skin is also more prone to infectious diseases.,हे कातीचेर संसर्गीक दुयेंस जावपाची शक्यतायूय चड आसता.,Positive
There is a depressed cells in the sebaceous appendage.,समुण्ड अधिरोमान एक उदासर्जक कोश आसतात.,Neutral
"Plumbum-3,30: Touching the place of cartilage also causes pain.","प्लम्बम 3, 30 : मोवहाडाचे सुवातेर हात लायल्यार लेगीत दूख जाता.",Positive
Which create a beautiful environment for bird watching.,जीं सुकण्यां दर्शना खातीर एक सोबीत पर्यावरण निर्माण करतात.,Positive
Jeep facility is available to visit Kanha National Park.,कान्हा राष्‍ट्रीय बागात भोंवपा खातीर जीप वेवस्था आसात.,Positive
The natural beauty of the Kalahti waterfall is unique.,कालहट्‍टी घोग्याची सैमीक सोबीतकाय अपरूप आसा.,Positive
Eating apple is good for the health of your teeth.,आपोल खाल्ल्यार दांत बरे उरतात.,Positive
"India's soil is found guilty, resulting in lower productivity.","भारताच्या मातयेंतय कांय दोश मेळटात, जाका लागून ताची उत्पादकताय कमी जाता.",Negative
Vejboard journalists were forced to come into force contract.,वेजबोर्ड पत्रकारांक जबरदस्तेन कंट्रेक्टांत येवपाक मजबूर केले.,Negative
Surgery to treat inguinal hernia is the most common.,इनग्विनल हर्नियाचेर उपचार म्हूण केल्लें ओपेरेसांव सगळ्यांत सादारण आसा.,Neutral
"This means that you select, the listener can understand.","म्हळ्यार तुका अशें वेंचचें पडटलें, जें श्रोतें समजपाक शकता.",Neutral
Increased unnecessary heat in the body leads to metallicity.,कुडींत गरज नासतना गरमी वाडून धातूक्षीणटाय जाता.,Negative
Sometimes the cancer manifests as a small wound.,केन्ना केन्ना कॅन्सर एक ल्हान घाव्याच्या रुपान प्रकट जाता.,Negative
Children often complain of cold cough during the winter season.,भुरग्यांक शिंयाच्या मोसमांत चडशी थंडे खोंकलेची कागाळ जाता.,Negative
"So ""play are 'andkindergarten synonyms and both mean entertainment.",देखून  क्रिडा  आनी  विहार  हे पर्यायवाची शब्द आसात आनी ह्या दोनांचो अर्थ मनोरंजन करपाचें साधनूच आसा.,Negative
Putting amla behind the ear is also beneficial.,काना फाटल्यान आंवाळो दवरिल्ल्यान लेगीत लाब जाता.,Negative
This is bad news for our health sector.,आमचे भलायकेच्या क्षेत्रा खातीर ही एक वायट बातमी.,Negative
"In this season, Sarahan is more cool and pleasant.",ह्या मोसमांत सराहन चड शितळ आनी सोबीत आसता.,Positive
By wearing tight clothes or sleeping on a dirty bed.,ताणिल्ले कपडे घाल्ल्यान वा म्हेळ्या हातरुणाचेर न्हिदिल्ल्यान.,Negative
"When he left, he was at sea level.",जेन्ना गेल्ले तेन्ना दर्या पातळेचेरूच आशिल्ले.,Neutral
"Therefore, the poor handicapped are assisted to purchase accessories.",देखून गरीब अपंगुळांक सहाय्यक उपकरण विकतें घेवपाक मजत दितात.,Negative
Najle The patient gets cold towards the food.,थंडी बारखुणेच्या दुयेंतीची जेवणाची रूच वता.,Negative
The wrong is coming sister redemption in prison.,वायट कामा खातीर घातिल्ल्या बंदखणींत सोडोवपाक भयण येता.,Negative
